time_s,JD,INNER_RATE,POLE_PAIRS,RS_OHM,LD_MH,LQ_MH,FLUX_WB,I_CHAR,M_IMAX,ID_MAX,ID_MIN,SPD_RPM_MAX,SPD_RPM_MIN,M_POWER_MAX,M_TEMP_MAX
0.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
0.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
1.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
1.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
2.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
2.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
3.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
3.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
4.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
4.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
5.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
5.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
6.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
6.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
7.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
7.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
8.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
8.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
9.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
9.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
10.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
10.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
11.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
11.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
12.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
12.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
13.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
13.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
14.000000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
14.500000,13400,1,4,39,172,281,6995,-1000,1000,0,-1000,12000,60,60000,803
